segment_id,segment_name,district,mapping_method,confidence
1001,"Connaught Place to Janpath","New Delhi","midpoint/locality administrative mapping","high"
1002,"Janpath to Tughlak Road","New Delhi","midpoint/locality administrative mapping","high"
1003,"Tughlak Road to Chanakyapuri","New Delhi","midpoint/locality administrative mapping","high"
1004,"Chanakyapuri to Vasant Vihar","South West","midpoint/locality administrative mapping","medium"
1005,"Vasant Vihar to Vasant Kunj","South West","midpoint/locality administrative mapping","high"
1006,"Vasant Kunj to Saket","South West","midpoint/locality administrative mapping","medium"
1007,"Saket to Malviya Nagar","South","midpoint/locality administrative mapping","high"
1008,"Malviya Nagar to Hauz Khas","South","midpoint/locality administrative mapping","high"
1009,"Hauz Khas to AIIMS Ring Road","South","midpoint/locality administrative mapping","high"
1010,"AIIMS to Lajpat Nagar (Ring Road)","South East","midpoint/locality administrative mapping","medium"
1011,"Lajpat Nagar to Kalkaji","South East","midpoint/locality administrative mapping","high"
1012,"Kalkaji to Okhla Industrial Area","South East","midpoint/locality administrative mapping","high"
1013,"AIIMS to RML Hospital (Sri Aurobindo Marg)","South West","midpoint/locality administrative mapping","medium"
1014,"RML to Connaught Place","New Delhi","midpoint/locality administrative mapping","high"
1015,"Connaught Place to Karol Bagh","Central","midpoint/locality administrative mapping","medium"
1016,"Karol Bagh to Rajouri Garden","West","midpoint/locality administrative mapping","medium"
1017,"Rajouri Garden to Janakpuri","West","midpoint/locality administrative mapping","high"
1018,"Janakpuri to Dwarka Sec 23","South West","midpoint/locality administrative mapping","high"
1019,"CP to Daryaganj","Central","midpoint/locality administrative mapping","high"
1020,"Daryaganj to Kashmere Gate","North","midpoint/locality administrative mapping","medium"
1021,"Kashmere Gate to Civil Lines","North","midpoint/locality administrative mapping","high"
1022,"Civil Lines to Model Town","North","midpoint/locality administrative mapping","medium"
1023,"Model Town to Shalimar Bagh","North West","midpoint/locality administrative mapping","medium"
1024,"Shalimar Bagh to Rohini Sec 18","North West","midpoint/locality administrative mapping","high"
1025,"Daryaganj to Preet Vihar (Vikas Marg)","East","midpoint/locality administrative mapping","medium"
1026,"Preet Vihar to Shahdara","East","midpoint/locality administrative mapping","medium"
1027,"Shahdara to Seelampur","North East","midpoint/locality administrative mapping","medium"
1028,"Seelampur to Nand Nagri","North East","midpoint/locality administrative mapping","high"
1029,"Lajpat Nagar to Mayur Vihar (DND Link)","South East","midpoint/locality administrative mapping","medium"
1030,"Okhla Ind Area to Sarita Vihar","South East","midpoint/locality administrative mapping","high"
