district,year,rape_cases,assault_women,kidnapping,source_file,source_type,source_date_range,normalization_notes
CENTRAL,2023,42,110,80,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
EAST,2023,85,210,190,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
NEW DELHI,2023,12,45,20,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
NORTH,2023,54,130,90,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
SOUTH,2023,110,310,280,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
WEST,2023,95,240,210,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
NORTH EAST,2023,68,175,145,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
NORTH WEST,2023,88,220,180,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
SOUTH EAST,2023,102,290,250,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
SOUTH WEST,2023,74,185,160,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
SHAH DARA,2023,61,150,130,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
DWARKA,2023,79,205,170,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
OUTER,2023,91,230,200,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
OUTER NORTH,2023,55,140,115,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
ROHINI,2023,82,215,185,delhi_crime_historical_2020_2023.csv,REAL,2020-2023,"Columns lowercased, district names standardized to uppercase."
