segment_id,segment_name,district,time_period,is_weekend,risk_score,risk_band,confidence_score,confidence_level,data_quality_score,mapping_confidence,synthetic_data_ratio,shap_evidence_score,data_quality_note,confidence_note
1001,Connaught Place to Janpath,New Delhi,Morning,0,72.09,High,36.02,Low,0.0,50.0,1.0,92.6,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Morning,1,76.89,High,35.98,Low,0.0,50.0,1.0,92.4,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Day,0,68.06,High,36.18,Low,0.0,50.0,1.0,93.38,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Day,1,72.97,High,36.16,Low,0.0,50.0,1.0,93.29,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Evening,0,79.93,High,35.81,Low,0.0,50.0,1.0,91.56,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Evening,1,85.07,High,35.82,Low,0.0,50.0,1.0,91.59,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Night,0,92.05,High,36.9,Low,0.0,50.0,1.0,97.01,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Night,1,96.83,High,36.85,Low,0.0,50.0,1.0,96.77,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Late Night,0,99.81,High,37.5,Low,0.0,50.0,1.0,100.0,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1001,Connaught Place to Janpath,New Delhi,Late Night,1,100.0,High,37.01,Low,0.0,50.0,1.0,97.53,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Morning,0,72.11,High,36.01,Low,0.0,50.0,1.0,92.53,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Morning,1,76.89,High,35.97,Low,0.0,50.0,1.0,92.33,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Day,0,68.05,High,36.16,Low,0.0,50.0,1.0,93.29,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Day,1,72.93,High,36.14,Low,0.0,50.0,1.0,93.2,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Evening,0,79.89,High,35.8,Low,0.0,50.0,1.0,91.52,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Evening,1,85.02,High,35.81,Low,0.0,50.0,1.0,91.56,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Night,0,92.36,High,36.99,Low,0.0,50.0,1.0,97.45,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Night,1,96.78,High,36.9,Low,0.0,50.0,1.0,96.99,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Late Night,0,99.66,High,37.49,Low,0.0,50.0,1.0,99.94,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1002,Janpath to Tuglak Road,New Delhi,Late Night,1,100.0,High,37.0,Low,0.0,50.0,1.0,97.5,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Morning,0,72.11,High,36.02,Low,0.0,50.0,1.0,92.61,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Morning,1,76.88,High,35.98,Low,0.0,50.0,1.0,92.41,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Day,0,68.09,High,36.18,Low,0.0,50.0,1.0,93.38,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Day,1,72.96,High,36.16,Low,0.0,50.0,1.0,93.3,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Evening,0,79.95,High,35.81,Low,0.0,50.0,1.0,91.57,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Evening,1,85.05,High,35.82,Low,0.0,50.0,1.0,91.6,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Night,0,92.08,High,36.9,Low,0.0,50.0,1.0,97.01,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Night,1,96.82,High,36.85,Low,0.0,50.0,1.0,96.77,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Late Night,0,99.78,High,37.5,Low,0.0,50.0,1.0,100.0,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1003,Tuglak Road to Chanakyapuri,New Delhi,Late Night,1,100.0,High,37.01,Low,0.0,50.0,1.0,97.53,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Morning,0,11.99,Low,25.91,Low,0.0,50.0,1.0,42.03,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Morning,1,16.98,Low,25.91,Low,0.0,50.0,1.0,42.04,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Day,0,8.06,Low,26.02,Low,0.0,50.0,1.0,42.58,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Day,1,12.96,Low,26.03,Low,0.0,50.0,1.0,42.67,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Evening,0,20.11,Low,25.5,Low,0.0,50.0,1.0,40.02,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Evening,1,25.0,Low,25.52,Low,0.0,50.0,1.0,40.11,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Night,0,32.25,Moderate,26.68,Low,0.0,50.0,1.0,45.9,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Night,1,37.16,Moderate,26.7,Low,0.0,50.0,1.0,45.98,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Late Night,0,40.06,High,27.78,Low,0.0,50.0,1.0,51.38,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1004,Chanakyapuri to Vasant Vihar,South West,Late Night,1,45.02,High,27.61,Low,0.0,50.0,1.0,50.55,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Morning,0,11.98,Low,25.95,Low,0.0,50.0,1.0,42.25,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Morning,1,17.0,Low,25.94,Low,0.0,50.0,1.0,42.19,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Day,0,8.07,Low,26.06,Low,0.0,50.0,1.0,42.78,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Day,1,13.01,Low,26.06,Low,0.0,50.0,1.0,42.8,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Evening,0,20.03,Low,25.53,Low,0.0,50.0,1.0,40.15,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Evening,1,24.94,Low,25.53,Low,0.0,50.0,1.0,40.17,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
1005,Vasant Vihar to Vasant Kunj,South West,Night,0,32.0,Moderate,26.7,Low,0.0,50.0,1.0,45.99,"Prototype/proxy inputs used: lighting, CCTV, mobility, crime hotspots.",Lower confidence; interpret this risk estimate cautiously.
